company_key,from_year,to_year,city,state,country,confidence,note
mci communications,1995,1998,Washington,District of Columbia,United States,certain,"MCI Communications Corporation was headquartered at 1801 Pennsylvania Ave NW in Washington, D.C."
rjr nabisco holdings,1996,1999,New York City,New York,United States,certain,"RJR Nabisco Holdings Corp. was headquartered at 1301 Avenue of the Americas in New York City."
alliedsignal,1996,1999,Morristown,New Jersey,United States,certain,"AlliedSignal Inc. was headquartered at Columbia Road in Morris Township/Morristown, NJ until acquiring Honeywell in 1999."
fort james,1982,1996,Richmond,Virginia,United States,certain,"James River Corporation of Virginia was headquartered on Tredegar Street in Richmond, VA."
fort james,1997,2000,Deerfield,Illinois,United States,certain,"Formed by 1997 merger of James River and Fort Howard; Fort James was based in Deerfield, IL until acquired by GP."
cooper industries,1964,1966,Mount Vernon,Ohio,United States,certain,"Cooper-Bessemer / Cooper Industries was based in Mount Vernon, Ohio prior to Houston relocation."
cooper industries,1967,2002,Houston,Texas,United States,certain,"Cooper Industries relocated corporate headquarters to First City National Bank / First City Tower in Houston in 1967."
u s industries,1955,1983,New York City,New York,United States,certain,"U.S. Industries, Inc. (formerly Pressed Steel Car) was headquartered at 250 Park Avenue in NYC."
u s industries,1984,1994,Iselin,New Jersey,United States,probable,"Following Hanson Trust's acquisition, USI operated as a Hanson subsidiary based in New Jersey."
u s industries,1995,2003,Iselin,New Jersey,United States,certain,"Spun off from Hanson in 1995, U.S. Industries was headquartered at 101 Wood Avenue South in Iselin, NJ."
basf,1982,1985,Parsippany,New Jersey,United States,certain,"BASF Wyandotte Corporation was headquartered in Parsippany, New Jersey."
basf,1986,1994,Mount Olive,New Jersey,United States,certain,"BASF Corporation (North American HQ) moved to Mount Olive Township, NJ in the late 1980s."
carnation,1955,1984,Los Angeles,California,United States,certain,"Carnation Company was headquartered at 5045 Wilshire Blvd in Los Angeles until acquired by Nestle in 1985."
united merchants and mfrs,1955,1989,New York City,New York,United States,certain,"United Merchants & Manufacturers (textile manufacturer and Robert Hall retailer) was based at 1407 Broadway in NYC."
travelers group,1996,1998,New York City,New York,United States,certain,"Travelers Group (Sandy Weill's financial services firm, formerly Primerica) was based at 388 Greenwich St in NYC."
fleming companies,1996,1999,Oklahoma City,Oklahoma,United States,certain,"Fleming Companies was headquartered in Oklahoma City until relocating to Texas."
fleming companies,2000,2003,Lewisville,Texas,United States,certain,"Fleming Companies relocated corporate headquarters to Lewisville, Texas (Dallas metro area) in 2000 until bankruptcy."
ogden,1957,2000,New York City,New York,United States,certain,"Ogden Corporation (conglomerate/services) was headquartered at 277 Park Ave and 40 W 40th St in NYC (renamed Covanta)."
minnesota mining and manufacturing,1996,2002,Maplewood,Minnesota,United States,certain,"Minnesota Mining and Manufacturing (3M) was headquartered at 3M Center in Maplewood/St. Paul, MN (renamed 3M in 2002)."
nynex,1995,1997,New York City,New York,United States,certain,"NYNEX Corporation was headquartered at 1095 Avenue of the Americas in New York City until merging with Bell Atlantic."
control data,1965,1991,Bloomington,Minnesota,United States,certain,"Control Data Corporation (CDC) was headquartered at 8100 34th Ave S in Bloomington (Minneapolis metro), MN."
iowa beef processors,1964,1967,Denison,Iowa,United States,certain,"Iowa Beef Packers was founded and headquartered in Denison, Iowa."
iowa beef processors,1968,1981,Dakota City,Nebraska,United States,certain,"Iowa Beef Processors moved headquarters to Dakota City, Nebraska in 1968 until acquired by Occidental in 1981."
avco,1955,1968,New York City,New York,United States,certain,"Aviation Corporation / Avco Corporation was headquartered at 750 Third Avenue in New York City."
avco,1969,1985,Greenwich,Connecticut,United States,certain,"Avco relocated corporate headquarters to Greenwich, CT in 1969 until acquired by Textron in 1985."
pullman,1955,1981,Chicago,Illinois,United States,certain,"Pullman Incorporated was headquartered at 200 S Michigan Ave in Chicago until acquired by Wheelabrator-Frye."
pullman,1982,1988,Princeton,New Jersey,United States,certain,"Reorganized Pullman Co. (industrial holding firm) was based in Princeton, NJ until 1988."
american home products,1996,2001,Madison,New Jersey,United States,certain,"American Home Products (renamed Wyeth in 2002) was headquartered at 5 Giralda Farms in Madison, NJ."
maxus energy,1955,1978,Cleveland,Ohio,United States,certain,"Diamond Alkali / Diamond Shamrock was headquartered in Cleveland, Ohio."
maxus energy,1979,1986,Dallas,Texas,United States,certain,"Diamond Shamrock moved corporate headquarters to Dallas, Texas in 1979."
maxus energy,1987,1994,Dallas,Texas,United States,certain,"Spun off as Maxus Energy in 1987, remaining headquartered in Dallas until acquired by YPF in 1995."
kellogg,1955,1995,Battle Creek,Michigan,United States,certain,"Kellogg Company was continuously headquartered at One Kellogg Square in Battle Creek, Michigan."
stone container,1983,1998,Chicago,Illinois,United States,certain,"Stone Container Corporation was headquartered at 150 N Michigan Ave in Chicago until merging into Smurfit-Stone in 1998."
us pharmaceuticals,1955,1973,New York City,New York,United States,probable,"U.S. Vitamin & Pharmaceutical Corp. (USV Pharmaceutical, subsidiary of Revlon) was based at 1 Scarsdale Rd, Tuckahoe/NYC."
us pharmaceuticals,1974,1989,Tuckahoe,New York,United States,probable,"USV Pharmaceutical Corporation operations were headquartered in Tuckahoe/Westchester County, NY until sold to Rorer."
kmart holding,1995,2005,Troy,Michigan,United States,certain,"Kmart Holding Corporation was headquartered in Troy, Michigan until acquiring Sears in 2005."
mci worldcom,1995,1997,Jackson,Mississippi,United States,certain,"LDDS / WorldCom was headquartered in downtown Jackson, Mississippi."
mci worldcom,1998,2000,Clinton,Mississippi,United States,certain,"Following the MCI merger, MCI WorldCom opened and occupied its corporate campus in Clinton, Mississippi."
aol time warner,2002,2003,New York City,New York,United States,certain,"AOL Time Warner Inc. was headquartered at 75 Rockefeller Plaza (Time Warner Center) in New York City."
worldcom,1996,1997,Jackson,Mississippi,United States,certain,"WorldCom, Inc. was headquartered in Jackson, Mississippi prior to campus completion."
worldcom,1998,2002,Clinton,Mississippi,United States,certain,"WorldCom, Inc. was headquartered in Clinton, Mississippi until filing for Chapter 11 bankruptcy in 2002."
utilicorp united,1996,2001,Kansas City,Missouri,United States,certain,"UtiliCorp United Inc. (renamed Aquila, Inc. in 2002) was headquartered at 1810 Main Street in Kansas City, MO."
republic aviation,1955,1965,Farmingdale,New York,United States,certain,"Republic Aviation Corporation was headquartered at Republic Field in Farmingdale (Long Island), NY until Fairchild acquisition in 1965."
rockwell international,1996,1998,Seal Beach,California,United States,certain,"Rockwell International was headquartered in Seal Beach/Costa Mesa, California."
rockwell international,1999,2001,Milwaukee,Wisconsin,United States,certain,"Rockwell relocated corporate headquarters to Milwaukee, Wisconsin in 1999 (renamed Rockwell Automation in 2002)."
fleetboston financial,1995,1998,Providence,Rhode Island,United States,certain,"Fleet Financial Group was headquartered at Fleet Center (50 Kennedy Plaza) in Providence, RI."
fleetboston financial,1999,2004,Boston,Massachusetts,United States,certain,"Following the 1999 BankBoston merger, FleetBoston Financial was headquartered at 100 Federal Street in Boston until acquired by BofA."
teledyne,1967,1995,Los Angeles,California,United States,certain,"Teledyne, Inc. was headquartered at 1901 Avenue of the Stars (Century City) in Los Angeles, California."
philco,1955,1962,Philadelphia,Pennsylvania,United States,certain,"Philco Corporation was headquartered at Tioga and C Streets in Philadelphia until acquired by Ford Motor Co. in 1961-1962."
merritt chapman and scott,1956,1965,New York City,New York,United States,certain,"Merritt-Chapman & Scott (construction conglomerate led by Louis Wolfson) was headquartered at 261 Madison Ave in NYC."
hygrade food products,1955,1956,New York City,New York,United States,certain,"Hygrade Food Products was based in New York City before moving to Detroit."
hygrade food products,1957,1977,Detroit,Michigan,United States,certain,"Hygrade Food Products (maker of Ball Park Franks) relocated executive headquarters to Detroit, MI until acquired by Sara Lee."
kaisertech,1955,1988,Oakland,California,United States,certain,"Kaiser Aluminum & Chemical / KaiserTech was headquartered at the Kaiser Center (300 Lakeside Dr) in Oakland, CA."
sunray dx oil,1956,1968,Tulsa,Oklahoma,United States,certain,"Sunray Mid-Continent Oil / Sunray DX Oil was headquartered at the Sunray Building in Tulsa, OK until merging with Sun Oil in 1968."
scott paper,1955,1960,Chester,Pennsylvania,United States,certain,"Scott Paper Company was headquartered in Chester, Pennsylvania."
scott paper,1961,1995,Philadelphia,Pennsylvania,United States,certain,"Scott Paper moved headquarters to Tinicum Township/Philadelphia Airport area in 1961 until acquired by Kimberly-Clark in 1995."
wal mart stores,1995,1995,Bentonville,Arkansas,United States,certain,"Wal-Mart Stores, Inc. was headquartered at 702 SW 8th Street in Bentonville, Arkansas."
state farm group,1996,1996,Bloomington,Illinois,United States,certain,"State Farm Mutual Automobile Insurance Company was headquartered at One State Farm Plaza in Bloomington, Illinois."
state farm insurance cos,1995,1995,Bloomington,Illinois,United States,certain,"State Farm Insurance Companies was headquartered at One State Farm Plaza in Bloomington, Illinois."
prudential ins of america,1995,1995,Newark,New Jersey,United States,certain,"Prudential Insurance Company of America was headquartered at Prudential Plaza in Newark, NJ."
american intl group,1995,1995,New York City,New York,United States,certain,"American International Group (AIG) was headquartered at 70 Pine Street in New York City."
federal national mortgage association,1996,1996,Washington,District of Columbia,United States,certain,"Federal National Mortgage Association (Fannie Mae) was headquartered on Wisconsin Avenue NW in Washington, D.C."
morgan stanley dean witter discover and,1998,1998,New York City,New York,United States,certain,"Morgan Stanley, Dean Witter, Discover & Co. was headquartered at 1585 Broadway in New York City."
american international group,2013,2013,New York City,New York,United States,certain,"American International Group (AIG) was headquartered at 175 Water Street / 180 Maiden Lane in New York City."
cigna,1995,1995,Philadelphia,Pennsylvania,United States,certain,"Cigna Corporation was headquartered at One Liberty Place in Philadelphia, Pennsylvania."
merrill lynch,1995,1995,New York City,New York,United States,certain,"Merrill Lynch & Co. was headquartered at the World Financial Center (Four World Financial Center) in NYC."
bankamerica,1995,1995,San Francisco,California,United States,certain,"BankAmerica Corp. (Bank of America) was headquartered at 555 California Street in San Francisco until 1998 NationsBank merger."
fleming,1995,1995,Oklahoma City,Oklahoma,United States,certain,"Fleming Companies, Inc. was headquartered in Oklahoma City, Oklahoma in 1995."
delphi automotive systems,2001,2001,Troy,Michigan,United States,certain,"Delphi Automotive Systems Corporation (spun off from GM) was headquartered in Troy, Michigan."
cudahy,1955,1955,Omaha,Nebraska,United States,certain,"Cudahy Packing Company was based in Omaha, Nebraska prior to 1956."
cudahy,1956,1971,Phoenix,Arizona,United States,certain,"Cudahy Packing Company relocated executive headquarters to Phoenix, Arizona in 1956 until acquired by General Host."
briggs manufacturing,1955,1955,Detroit,Michigan,United States,certain,"Briggs Manufacturing Company (auto body / plumbing fixtures) was headquartered in Detroit, Michigan."
morg,1996,1996,New York City,New York,United States,certain,"J.P. Morgan & Co. Incorporated (ticker/shorthand morg) was headquartered at 60 Wall Street in New York City."
chemical banking,1996,1996,New York City,New York,United States,certain,"Chemical Banking Corporation was headquartered at 277 Park Avenue in New York City."
mcdermott,1980,1994,New Orleans,Louisiana,United States,certain,"McDermott International (offshore energy engineering) was headquartered in New Orleans, Louisiana (Poydras Plaza)."
tosco,1975,1983,Los Angeles,California,United States,certain,"The Oil Shale Corporation / Tosco was headquartered in Los Angeles (Century City), California."
tosco,1984,1992,Santa Monica,California,United States,certain,"Tosco Corporation operated executive headquarters in Santa Monica, California."
tosco,1993,2001,Stamford,Connecticut,United States,certain,"Tosco relocated corporate headquarters to Stamford, CT in the early 1990s until acquired by Phillips in 2001."
studebaker,1955,1967,South Bend,Indiana,United States,certain,"Studebaker (Studebaker-Packard) was headquartered in South Bend, Indiana until merging with Worthington in 1967."
may dept stores,1995,1995,St. Louis,Missouri,United States,certain,"The May Department Stores Company was headquartered at 611 Olive Street in St. Louis, Missouri."
college retirement equities fund,1996,1997,New York City,New York,United States,certain,"College Retirement Equities Fund (CREF, part of TIAA-CREF) was headquartered at 730 Third Avenue in NYC."
j p morgan,1995,1995,New York City,New York,United States,certain,"J.P. Morgan & Co. Incorporated was headquartered at 60 Wall Street in New York City."
u s west,1996,2000,Denver,Colorado,United States,certain,"US WEST, Inc. was headquartered at 1801 California Street in Denver, Colorado until acquired by Qwest in 2000."
batus,1982,1982,Louisville,Kentucky,United States,certain,"BATUS Inc. (holding company for Brown & Williamson, Marshall Field's, Saks) was based in Louisville, Kentucky."
mci,2005,2005,Ashburn,Virginia,United States,certain,"MCI, Inc. (emerged from WorldCom Chapter 11) was headquartered in Ashburn, VA until acquired by Verizon in 2006."
aetna life and casualty,1996,1996,Hartford,Connecticut,United States,certain,"Aetna Life and Casualty Company was headquartered at 151 Farmington Avenue in Hartford, Connecticut."
mediaone group,1995,2000,Englewood,Colorado,United States,certain,"MediaOne Group (cable/broadband spinoff of US WEST) was headquartered in Englewood/Denver, CO until acquired by AT&T."
warner communications,1972,1989,New York City,New York,United States,certain,"Warner Communications Inc. was headquartered at 75 Rockefeller Plaza in NYC until merging with Time Inc. in 1989-1990."
cvs,1955,1964,Worcester,Massachusetts,United States,probable,"Melville Shoe Corporation maintained executive offices in Worcester/Boston, MA."
cvs,1965,1995,Harrison,New York,United States,certain,"Melville Corporation (parent company back-named CVS) was headquartered in Harrison/Rye, NY across this era."
wellpoint health networks,1996,2004,Thousand Oaks,California,United States,certain,"WellPoint Health Networks Inc. (Blue Cross of California parent) was headquartered in Thousand Oaks, CA until Anthem merger."
amf,1955,1970,New York City,New York,United States,certain,"American Machine and Foundry (AMF) was headquartered at 261 Madison Avenue in New York City."
amf,1971,1985,White Plains,New York,United States,certain,"AMF Inc. moved corporate headquarters to 777 Westchester Avenue in White Plains, NY until 1985 takeover."
fdx,1998,1999,Memphis,Tennessee,United States,certain,"FDX Corporation (holding company formed in 1998, renamed FedEx Corporation in 2000) was based in Memphis, TN."
crane,1955,1967,Chicago,Illinois,United States,certain,"Crane Co. was headquartered at 836 S Michigan Avenue in Chicago, Illinois."
crane,1968,1984,New York City,New York,United States,certain,"Crane Co. relocated executive offices to 300 Park Avenue in New York City in 1968."
crane,1985,1994,Stamford,Connecticut,United States,certain,"Crane Co. relocated corporate headquarters to Stamford, Connecticut in 1985; clipped to 1994 span."
federal home loan mortgage,1996,1998,McLean,Virginia,United States,certain,"Federal Home Loan Mortgage Corp. (Freddie Mac) was headquartered at 8200 Jones Branch Drive in McLean, VA."
amstar,1955,1990,New York City,New York,United States,certain,"American Sugar Refining Co. (renamed Amstar in 1970) was headquartered at 120 Wall St and 1251 Ave of the Americas in NYC."
coca cola enterprises,1988,1995,Atlanta,Georgia,United States,certain,"Coca-Cola Enterprises Inc. (anchor bottler spun off in 1986) was headquartered at One Coca-Cola Plaza in Atlanta, GA."
columbia hca healthcare,1995,1995,Nashville,Tennessee,United States,certain,"Columbia/HCA Healthcare Corporation was headquartered at One Park Plaza in Nashville, Tennessee."
triangle industries,1969,1982,Holmdel,New Jersey,United States,certain,"Triangle Industries (conduit and cable maker) was headquartered in Holmdel/New Brunswick, New Jersey."
triangle industries,1983,1989,New York City,New York,United States,certain,"Under Nelson Peltz and Peter May, Triangle Industries was headquartered at 777 Third Avenue in NYC until Pechiney sale."
white motor,1955,1972,Cleveland,Ohio,United States,certain,"White Motor Corporation was headquartered at 842 E 79th Street in Cleveland, Ohio."
white motor,1973,1981,Eastlake,Ohio,United States,certain,"White Motor moved executive offices to suburban Eastlake, Ohio in 1973 until bankruptcy and Volvo acquisition in 1981."
gillette,1955,2005,Boston,Massachusetts,United States,certain,"The Gillette Company was continuously headquartered at Prudential Tower / Gillette Park in Boston, MA until P&G acquisition."
kerr mcgee,1958,2006,Oklahoma City,Oklahoma,United States,certain,"Kerr-McGee Corporation was continuously headquartered at Kerr-McGee Center in Oklahoma City until acquired by Anadarko in 2006."
may department stores,1996,2005,St. Louis,Missouri,United States,certain,"The May Department Stores Company was headquartered at 611 Olive Street in St. Louis until acquired by Federated/Macy's in 2005."
bergen brunswig,1995,2001,Orange,California,United States,certain,"Bergen Brunswig Corporation (pharmaceutical distributor) was headquartered in Orange, CA until the 2001 AmerisourceBergen merger."
itt hartford group,1996,1997,Hartford,Connecticut,United States,certain,"ITT Hartford Group, Inc. (spun off from ITT, renamed The Hartford in 1997) was headquartered at Hartford Plaza in Hartford, CT."
