team,league,value_usd_m,year,source,source_url,method,confidence,notes
Xavier,College basketball,80,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.0M sport revenue; Remaining Big East / Big East program, not in a higher basketball tier."
Wisconsin,College basketball,99,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $19.9M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Creighton,College basketball,99,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $19.8M sport revenue; Remaining Big East / Big East program, not in a higher basketball tier."
Maryland,College basketball,82,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.5M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Miami (FL),College basketball,89,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $17.9M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Providence,College basketball,63,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $12.5M sport revenue; Remaining Big East / Big East program, not in a higher basketball tier."
Seton Hall,College basketball,49,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $9.8M sport revenue; Remaining Big East / Big East program, not in a higher basketball tier."
Utah State,College basketball,23,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $5.7M sport revenue; Non-power-conference program in the index (mid-major tier)."
California,College basketball,66,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.2M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Wichita State,College basketball,27,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $6.8M sport revenue; Non-power-conference program in the index (mid-major tier)."
Butler,College basketball,65,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $12.9M sport revenue; Remaining Big East / Big East program, not in a higher basketball tier."
LSU,College basketball,68,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.6M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
USC,College basketball,65,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.1M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Rutgers,College basketball,80,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.1M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Cincinnati,College basketball,62,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $12.3M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Georgia,College basketball,80,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.1M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
West Virginia,College basketball,51,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $10.2M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Missouri,College basketball,94,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $18.9M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
Arizona State,College basketball,50,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $10.1M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Baylor,College basketball,92,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $18.4M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Notre Dame,College basketball,66,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.2M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Texas A&M,College basketball,79,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $15.7M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
DePaul,College basketball,64,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $12.7M sport revenue; Remaining Big East / Big East program, not in a higher basketball tier."
Clemson,College basketball,63,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $12.6M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Penn State,College basketball,76,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $15.2M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Texas Tech,College basketball,80,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.0M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
TCU,College basketball,78,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $15.6M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Oklahoma State,College basketball,90,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $18.1M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Central Florida,College basketball,39,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $7.8M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Washington,College basketball,67,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.5M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Pittsburgh,College basketball,69,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.9M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Kansas State,College basketball,55,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $10.9M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
SMU,College basketball,84,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.7M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Minnesota,College basketball,80,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.0M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Georgia Tech,College basketball,73,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $14.5M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Oregon,College basketball,58,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $11.6M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Stanford,College basketball,54,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $10.8M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
San Diego State,College basketball,61,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $15.3M sport revenue; Named top mid-major brand in the brief."
Florida Atlantic,College basketball,19,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $4.8M sport revenue; Non-power-conference program in the index (mid-major tier)."
Florida State,College basketball,73,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $14.6M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Loyola Chicago,College basketball,28,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $7.0M sport revenue; Non-power-conference program in the index (mid-major tier)."
Boston College,College basketball,50,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $10.0M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Utah,College basketball,85,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $17.0M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
George Mason,College basketball,23,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $5.8M sport revenue; Non-power-conference program in the index (mid-major tier)."
South Carolina,College basketball,77,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $15.4M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
Virginia Tech,College basketball,42,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $8.5M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Mississippi,College basketball,91,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $18.2M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
Northwestern,College basketball,72,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $14.4M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Colorado,College basketball,60,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $11.9M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Mississippi State,College basketball,61,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $12.2M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
Memphis Tigers,College basketball,37,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $9.3M sport revenue; Non-power-conference program in the index (mid-major tier)."
Boise State,College basketball,24,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $6.1M sport revenue; Non-power-conference program in the index (mid-major tier)."
Colorado State Rams,College basketball,28,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $7.0M sport revenue; Non-power-conference program in the index (mid-major tier)."
Dayton Flyers,College basketball,76,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $19.1M sport revenue; Named top mid-major brand in the brief."
Oklahoma,College basketball,49,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $9.8M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
