team,league,value_usd_m,year,source,source_url,method,confidence,notes
George Mason,College basketball,23,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $5.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $132M / EADA total athletics revenue $33.0M, same FY). Dept value source: College Factual EADA summary."
South Carolina,College basketball,61,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $15.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.97 (dept value $812M / EADA total athletics revenue $204.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Virginia Tech,College basketball,32,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $8.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.72 (dept value $564M / EADA total athletics revenue $151.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Mississippi,College basketball,80,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $18.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.41 (dept value $755M / EADA total athletics revenue $171.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Northwestern,College basketball,64,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $14.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.40 (dept value $580M / EADA total athletics revenue $131.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Colorado,College basketball,42,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $11.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.55 (dept value $574M / EADA total athletics revenue $161.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Mississippi State,College basketball,49,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $12.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.97 (dept value $625M / EADA total athletics revenue $157.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Memphis Tigers,College basketball,37,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $9.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $263M / EADA total athletics revenue $65.9M, same FY). Dept value source: College Factual EADA summary."
Boise State,College basketball,15,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $6.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.46 (dept value $221M / EADA total athletics revenue $89.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025. Department value reused from this school's College football department row (no basketball-specific department figure existed)."
Colorado State Rams,College basketball,28,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $7.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $223M / EADA total athletics revenue $55.8M, same FY). Dept value source: College Factual EADA summary."
Dayton Flyers,College basketball,77,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $19.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.01 (dept value $175M / EADA total athletics revenue $43.7M, same FY). Dept value source: College Factual EADA summary."
Oklahoma,College basketball,39,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $9.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.96 (dept value $928M / EADA total athletics revenue $234.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Indiana,College football,344,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $80.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.26 (dept value $775M / EADA total athletics revenue $182.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Miami (FL),College football,329,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $99.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.30 (dept value $760M / EADA total athletics revenue $230.5M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Ohio State,College football,717,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $160.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.46 (dept value $1318M / EADA total athletics revenue $295.3M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Notre Dame,College football,655,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $195.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.35 (dept value $969M / EADA total athletics revenue $289.6M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Mississippi,College football,400,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $90.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.41 (dept value $755M / EADA total athletics revenue $171.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Alabama,College football,585,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $146.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $978M / EADA total athletics revenue $244.6M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Michigan,College football,788,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $175.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.49 (dept value $1062M / EADA total athletics revenue $236.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Penn State,College football,546,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $150.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.63 (dept value $924M / EADA total athletics revenue $254.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Texas,College football,642,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $171.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.73 (dept value $1281M / EADA total athletics revenue $343.1M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
LSU,College football,482,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $117.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.10 (dept value $916M / EADA total athletics revenue $223.5M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Georgia,College football,607,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $149.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.07 (dept value $950M / EADA total athletics revenue $233.5M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Oregon,College football,630,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $119.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 5.27 (dept value $880M / EADA total athletics revenue $167.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Texas A&M,College football,582,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $108.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 5.37 (dept value $1264M / EADA total athletics revenue $235.5M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Florida,College football,555,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $113.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.89 (dept value $975M / EADA total athletics revenue $199.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
North Carolina,College football,228,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $63.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.59 (dept value $650M / EADA total athletics revenue $180.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
California,College football,137,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $64.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.14 (dept value $370M / EADA total athletics revenue $173.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
USC,College football,292,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $74.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.94 (dept value $923M / EADA total athletics revenue $234.0M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Oklahoma,College football,500,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $126.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.96 (dept value $928M / EADA total athletics revenue $234.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Auburn,College football,479,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $121.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.95 (dept value $810M / EADA total athletics revenue $205.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Vanderbilt,College football,197,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $44.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.47 (dept value $655M / EADA total athletics revenue $146.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Texas Tech,College football,309,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $69.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.43 (dept value $570M / EADA total athletics revenue $128.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Tennessee,College football,535,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $162.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.29 (dept value $940M / EADA total athletics revenue $285.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Clemson,College football,402,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $86.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.62 (dept value $860M / EADA total athletics revenue $186.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Florida State,College football,331,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $83.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.97 (dept value $765M / EADA total athletics revenue $192.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Nebraska,College football,560,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $122.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.58 (dept value $943M / EADA total athletics revenue $205.8M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
UCLA,College football,172,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $55.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.11 (dept value $539M / EADA total athletics revenue $173.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Washington,College football,539,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $121.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.46 (dept value $795M / EADA total athletics revenue $178.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Colorado,College football,246,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $69.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.55 (dept value $574M / EADA total athletics revenue $161.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
BYU,College football,169,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $51.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.26 (dept value $500M / EADA total athletics revenue $153.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Arkansas,College football,371,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $90.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.08 (dept value $800M / EADA total athletics revenue $195.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Pittsburgh,College football,216,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $57.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.78 (dept value $572M / EADA total athletics revenue $151.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Michigan State,College football,374,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $77.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.85 (dept value $780M / EADA total athletics revenue $160.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
SMU,College football,116,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $45.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.56 (dept value $385M / EADA total athletics revenue $150.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Georgia Tech,College football,290,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $70.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.11 (dept value $577M / EADA total athletics revenue $140.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Stanford,College football,150,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $36.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.18 (dept value $805M / EADA total athletics revenue $192.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
TCU,College football,217,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $59.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.64 (dept value $568M / EADA total athletics revenue $156.0M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
South Carolina,College football,304,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $76.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.97 (dept value $812M / EADA total athletics revenue $204.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Iowa,College football,488,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $105.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.64 (dept value $835M / EADA total athletics revenue $180.0M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Utah,College football,346,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $95.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.60 (dept value $451M / EADA total athletics revenue $125.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Virginia Tech,College football,297,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $79.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.72 (dept value $564M / EADA total athletics revenue $151.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Central Florida,College football,72,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $30.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.41 (dept value $262M / EADA total athletics revenue $108.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Illinois,College football,410,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $87.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.67 (dept value $815M / EADA total athletics revenue $174.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Oklahoma State,College football,223,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $57.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.90 (dept value $600M / EADA total athletics revenue $153.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Northwestern,College football,377,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $85.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.40 (dept value $580M / EADA total athletics revenue $131.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Virginia,College football,208,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $51.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.05 (dept value $610M / EADA total athletics revenue $150.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Missouri,College football,206,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $53.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.86 (dept value $700M / EADA total athletics revenue $181.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Wisconsin,College football,516,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $112.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.59 (dept value $875M / EADA total athletics revenue $190.5M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Mississippi State,College football,149,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $37.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.97 (dept value $625M / EADA total athletics revenue $157.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Iowa State,College football,336,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $60.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 5.53 (dept value $575M / EADA total athletics revenue $103.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Cincinnati,College football,71,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $30.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.35 (dept value $280M / EADA total athletics revenue $119.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Minnesota,College football,451,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $101.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.43 (dept value $695M / EADA total athletics revenue $156.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Arizona State,College football,145,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $50.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.88 (dept value $430M / EADA total athletics revenue $149.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Purdue,College football,370,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $83.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.45 (dept value $670M / EADA total athletics revenue $150.5M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Duke,College football,256,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $67.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.80 (dept value $690M / EADA total athletics revenue $181.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
West Virginia,College football,195,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $47.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.10 (dept value $481M / EADA total athletics revenue $117.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Rutgers,College football,224,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $75.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.95 (dept value $506M / EADA total athletics revenue $171.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Kentucky,College football,211,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $43.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.88 (dept value $910M / EADA total athletics revenue $186.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Louisville,College football,137,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $33.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.14 (dept value $645M / EADA total athletics revenue $155.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Boise State Broncos football,College football,137,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $55.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.46 (dept value $221M / EADA total athletics revenue $89.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Maryland,College football,262,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $63.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.15 (dept value $534M / EADA total athletics revenue $128.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Syracuse,College football,242,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $64.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.74 (dept value $452M / EADA total athletics revenue $120.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
North Carolina State,College football,300,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $69.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.30 (dept value $584M / EADA total athletics revenue $135.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Houston,College football,52,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $23.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.22 (dept value $222M / EADA total athletics revenue $100.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
UNLV Rebels football,College football,61,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $24.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.46 (dept value $190M / EADA total athletics revenue $77.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Arizona,College football,151,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $37.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $529M / EADA total athletics revenue $132.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Boston College,College football,177,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $47.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.73 (dept value $530M / EADA total athletics revenue $142.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Troy Trojans football,College football,50,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $12.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $159M / EADA total athletics revenue $39.7M, same FY). Dept value source: College Factual EADA summary."
Wake Forest,College football,139,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $39.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.53 (dept value $405M / EADA total athletics revenue $114.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Kansas State,College football,114,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $27.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.22 (dept value $435M / EADA total athletics revenue $103.0M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
