country,league,end_year,reep_competition,site_clubs_left,reep_teams_left
Brazil,Brasileiro Série C,2013,Copa do Brasil,Treze; Betim,rt906ca94a7dae78=Tupi; rt4e2e39849b26d8=Remo; rtfce4ed0a67fd9e=ASA; rt34093cdff426e7=Naviraiense; rt258e22e4b3c79f=Vitória da Conquista; rt4755b887b873fc=Vasco da Gama; rt82235bfb6f61c5=CSA; rta4937174fe7834=Parnahyba; rt8278227b98018f=Arapongas; rt47ea83c8e136dd=Fluminense; rt91f13935ae22a7=Volta Redonda; rt02e66c103cfd26=Desportiva Ferroviária; rt52941565db3351=Bangu; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rteb90df0e8943fa=Sobradinho; rt785c40a781a82a=RB Bragantino; rt50734ff00e23f9=Atlético Goianiense; rt6ab10f79205b70=Gurupi; rtc7a26e9b8eb34b=Santo André; rt822886216dcc71=Atlético Acreano; rtde7df33f0f3bb6=Oratório; rt18edb139bd1edb=Itabaiana; rtccac7818bac957=Flamengo; rt2a6024a4d43d11=Ceilândia; rtfb9fbdf0f8fb67=Guarani de Juazeiro; rt007f02a8296bb9=Náutico; rt89b81e9f331c75=Sousa; rtae9f8a81515fbf=Atlético Mineiro; rt51d46f0ad82643=Avaí; rtb6cf4378f24b15=Ji-Paraná; rtec30874bd013ee=Corinthians; rt0335918740d147=Flamengo PI; rt1de5c1f0a332a3=Resende; rtce0e4e68d89aac=Vitória; rtb506fdbed10224=Criciúma; rta1b061380a4b09=Santos; rt818373b934635e=São Caetano; rt0266f087f1a79c=Mixto; rteab6418ace7f56=Internacional; rt59853f704690a2=Nacional AM; rtc844f037e15630=Ceará; rteda5bdd932fa64=Sport Recife; rtba608dbac31d11=Ponte Preta; rt7bec13bcdb8b4d=Figueirense; rt8f67ab2e6f62b3=São Bernardo; rt2c153237e457d7=Paysandu; rte963d27c08121a=Palmeiras; rt972ebaf2f10992=Joinville; rtbc9ee3de059c2c=Veranópolis; rt56602c3a84b420=Athletico Paranaense; rtcae4e3815ba262=Águia Negra; rt19310e40122155=Cianorte; rt65ddea615e2471=Campinense; rt1a0af90ca6b829=Luziânia; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rtdb406c549139db=Ipatinga; rt9530c30741db05=Aracruz; rtdc6e34a2bdbeca=São Raimundo RR; rte5fdc35a46cd32=Confiança; rtc63899a00facb7=Cametá; rtf1ae350040ce1b=América Mineiro; rt6ef1560fec6329=Coritiba; rtf4448c47da2692=América RN; rt7395ea005430ed=Salgueiro; rtcefa2b434c3fef=Fast Clube; rt949df1a5dd80b9=Paraná; rt154d21631cb8be=ABC; rt07a9eebd372a61=Santa Cruz RN; rted344ee352d84a=Boa; rtb76e97a618357d=Botafogo; rt9877a0f2c6f324=Noroeste; rtc6df5398701b00=Portuguesa; rt84f4b6ec489646=Maranhão
Brazil,Brasileiro Série C,2019,Copa do Brasil,Treze,rtb47f3637f2342a=Real Ariquemes; rt906ca94a7dae78=Tupi; rtbda879ee691a54=Chapecoense; rtfce4ed0a67fd9e=ASA; rt4755b887b873fc=Vasco da Gama; rt71a90b587c29c3=Altos; rt82235bfb6f61c5=CSA; rt47ea83c8e136dd=Fluminense; rtcee20857999034=Atlético Cearense; rtb064787797bbcc=Serra; rt434348404b6bc1=Fortaleza; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rteb90df0e8943fa=Sobradinho; rt504d2cbfcd2bc7=São Paulo; rtda1d3ab4e309e8=Galvez; rt50734ff00e23f9=Atlético Goianiense; rta6f5813725e986=Avenida; rt9040b2d312aa0e=Cuiabá; rt34e2de9a09c95b=Manaus; rted7391af56021b=Rio Branco; rt18edb139bd1edb=Itabaiana; rt184df1105fa779=Ríver; rtccac7818bac957=Flamengo; rtae9f8a81515fbf=Atlético Mineiro; rt51d46f0ad82643=Avaí; rt2d6a8ecb9b8653=Operário FC MS; rtd7e6f6b76149f0=Brasil de Pelotas; rt6ddb6887e7de3c=Brasiliense; rt0a4ecb45eeb0f6=Guarani SP; rt25c40bb801ee05=Atlético Tubarão; rtbb1ec5103f4f4d=Boavista RJ; rtf4ad232d9dbfdb=Americano; rtec30874bd013ee=Corinthians; rt7dc5f21beddc11=Ypiranga AP; rt42a22c4a5b3fac=URT; rtd52e20e0db2889=Londrina; rtce0e4e68d89aac=Vitória; rtb506fdbed10224=Criciúma; rta1b061380a4b09=Santos; rt0266f087f1a79c=Mixto; rteab6418ace7f56=Internacional; rt68537f14a3da9d=Votuporanguense; rtc844f037e15630=Ceará; rteda5bdd932fa64=Sport Recife; rtba608dbac31d11=Ponte Preta; rtc24d37aa17b8c8=Foz do Iguaçu; rt1a4d1689bdac08=São José RS; rt7bec13bcdb8b4d=Figueirense; rt91eb9f15ecd875=Sergipe; rte963d27c08121a=Palmeiras; rtfec615dccc4a3e=Osasco Sporting; rt10a028d60d2e38=Vila Nova; rt972ebaf2f10992=Joinville; rtcadc4b8f4c226a=Brusque; rt56602c3a84b420=Athletico Paranaense; rt058e7cc81a4b27=São Raimundo; rt65ddea615e2471=Campinense; rt9d6d52baf4fe3b=Central; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rtdc6e34a2bdbeca=São Raimundo RR; rtf1ae350040ce1b=América Mineiro; rt6420facbcfb32f=Aparecidense; rt6ef1560fec6329=Coritiba; rt9fcadf86a42370=Bragantino PA; rt3db4974571d96d=Santa Cruz de Natal; rtf4448c47da2692=América RN; rtabddd8b7dee058=CRB; rtcefa2b434c3fef=Fast Clube; rt949df1a5dd80b9=Paraná; rtbfdd76ed180e75=Palmas; rt02410f535548c6=Sinop; rtcea742c352d573=Juazeirense; rt8880e08b2ed0ba=Moto Club; rt813b5f0e73b855=Corumbaense; rtb76e97a618357d=Botafogo
Brazil,Brasileiro Série C,2020,Copa do Brasil,Treze,rtbda879ee691a54=Chapecoense; rt2a68299d189bd5=Aquidauanense; rta307c28a4d6ba3=Caucaia; rt4755b887b873fc=Vasco da Gama; rt71a90b587c29c3=Altos; rt82235bfb6f61c5=CSA; rt6a2e546ab500af=Ferroviária; rtc580241c4b4017=Operário PR; rt47ea83c8e136dd=Fluminense; rt434348404b6bc1=Fortaleza; rt52941565db3351=Bangu; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rt1311759c7ef0c9=Novorizontino; rt504d2cbfcd2bc7=São Paulo; rt785c40a781a82a=RB Bragantino; rt818abe2d31fd9a=Juventude; rtda1d3ab4e309e8=Galvez; rt9fa17550e3343e=São Luiz; rt50734ff00e23f9=Atlético Goianiense; rt7cfde0192cd54b=Vilhenense; rtc7a26e9b8eb34b=Santo André; rt81b81690d5ed1a=Afogados; rt9040b2d312aa0e=Cuiabá; rt1c43fc44a6eaa3=CEOV Operário; rt55bc36d4f6f515=Atlético Alagoinhas; rt822886216dcc71=Atlético Acreano; rt070a7d5d11d59e=Barbalha; rt184df1105fa779=Ríver; rtccac7818bac957=Flamengo; rt007f02a8296bb9=Náutico; rt2a6ac4ed901a74=Toledo; rtae9f8a81515fbf=Atlético Mineiro; rt51d46f0ad82643=Avaí; rte6faea79ae022b=Vitória ES; rt5abc12b3263cee=União Rondonópolis; rtd7e6f6b76149f0=Brasil de Pelotas; rt6ddb6887e7de3c=Brasiliense; rtbb1ec5103f4f4d=Boavista RJ; rtfa93c89c895b57=Coruripe; rt058c86c56c61c3=Novo Hamburgo; rtec30874bd013ee=Corinthians; rtce0e4e68d89aac=Vitória; rta1b061380a4b09=Santos; rteab6418ace7f56=Internacional; rtbb86372fb38fb1=Gama; rtc844f037e15630=Ceará; rteda5bdd932fa64=Sport Recife; rtba608dbac31d11=Ponte Preta; rt1a4d1689bdac08=São José RS; rt7bec13bcdb8b4d=Figueirense; rte963d27c08121a=Palmeiras; rtfec615dccc4a3e=Osasco Sporting; rtd1384a95249161=Bahia de Feira; rt56602c3a84b420=Athletico Paranaense; rtcae4e3815ba262=Águia Negra; rt89ba3ac638623a=Independente PA; rt65ddea615e2471=Campinense; rt35058666a8b82f=Santos AP; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rtdc6e34a2bdbeca=São Raimundo RR; rtf1ae350040ce1b=América Mineiro; rtf3a888e62c81cf=Sampaio Corrêa; rt34690d88c1a3da=Luverdense; rt6ef1560fec6329=Coritiba; rt9fcadf86a42370=Bragantino PA; rtf4448c47da2692=América RN; rtabddd8b7dee058=CRB; rtcefa2b434c3fef=Fast Clube; rt52800e3faee976=Frei Paulistano; rtbfdd76ed180e75=Palmas; rt949df1a5dd80b9=Paraná; rt154d21631cb8be=ABC; rtc21fb9e559a53e=Caxias do Sul; rt8880e08b2ed0ba=Moto Club; rtb76e97a618357d=Botafogo; rt561f37ad94abb7=XV de Piracicaba; rtb7dd678808e0b6=Lagarto
Brazil,Brasileiro Série C,2021,Copa do Brasil,AA Altos,rt13b788661b9fe9=Cascavel; rt4e2e39849b26d8=Remo; rtbda879ee691a54=Chapecoense; rt2b20b942ceceaf=Madureira; rt4755b887b873fc=Vasco da Gama; rt82235bfb6f61c5=CSA; rtc580241c4b4017=Operário PR; rt8129e6dc29e960=Goianésia; rt47ea83c8e136dd=Fluminense; rt434348404b6bc1=Fortaleza; rtfc212e81a5fc21=Caldense; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rt504d2cbfcd2bc7=São Paulo; rt785c40a781a82a=RB Bragantino; rt818abe2d31fd9a=Juventude; rtda1d3ab4e309e8=Galvez; rt9be6cb0d2dbd55=Picos; rt50734ff00e23f9=Atlético Goianiense; rtcaa785c64eb95c=Castanhal; rt9040b2d312aa0e=Cuiabá; rt55bc36d4f6f515=Atlético Alagoinhas; rt822886216dcc71=Atlético Acreano; rt3637a7190cfba9=Juventude MA; rtccac7818bac957=Flamengo; rtae9f8a81515fbf=Atlético Mineiro; rt51d46f0ad82643=Avaí; rt5abc12b3263cee=União Rondonópolis; rt6ddb6887e7de3c=Brasiliense; rt9c84881b9692a6=Retrô; rtbb1ec5103f4f4d=Boavista RJ; rtec30874bd013ee=Corinthians; rte32f70e4bf8304=Santa Cruz RS; rt7dc5f21beddc11=Ypiranga AP; rt799a6296b73f54=Rio Branco ES; rt9e9623f3f2afe3=Esportivo; rtce0e4e68d89aac=Vitória; rta1b061380a4b09=Santos; rt609447697d52dc=4 de Julho; rteab6418ace7f56=Internacional; rtbb86372fb38fb1=Gama; rtc844f037e15630=Ceará; rteda5bdd932fa64=Sport Recife; rtba608dbac31d11=Ponte Preta; rt91eb9f15ecd875=Sergipe; rte963d27c08121a=Palmeiras; rtf3419e193a9dbe=Real Brasília; rt9d5a9218e7681d=Peñarol; rt10a028d60d2e38=Vila Nova; rt972ebaf2f10992=Joinville; rtcadc4b8f4c226a=Brusque; rt56602c3a84b420=Athletico Paranaense; rtcae4e3815ba262=Águia Negra; rt19310e40122155=Cianorte; rt65ddea615e2471=Campinense; rt4241701fe601eb=Treze; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rtdc6e34a2bdbeca=São Raimundo RR; rte5fdc35a46cd32=Confiança; rtb715853d3de549=Porto Velho EC; rtf1ae350040ce1b=América Mineiro; rtf3a888e62c81cf=Sampaio Corrêa; rt34690d88c1a3da=Luverdense; rt776ae4feafde8b=Guarany de Sobral; rt6ef1560fec6329=Coritiba; rte2e6a9d010dae6=Murici FC; rta1e91d64659e46=Jaraguá EC; rtf4448c47da2692=América RN; rt7395ea005430ed=Salgueiro; rtabddd8b7dee058=CRB; rtbfdd76ed180e75=Palmas; rt154d21631cb8be=ABC; rtc21fb9e559a53e=Caxias do Sul; rtcea742c352d573=Juazeirense; rt8880e08b2ed0ba=Moto Club; rt602d8173b76ccc=Nova Mutum EC; rt0147d89e87012a=Marília; rt69c5091cb30838=Uberlândia
Brazil,Brasileiro Série D,2019,Copa do Brasil,América de Pernambuco; UR Trabalhadores; União de Rondonópolis; Serrano-PB,rteab6418ace7f56=Internacional; rt4e2e39849b26d8=Remo; rtbda879ee691a54=Chapecoense; rt68537f14a3da9d=Votuporanguense; rtc844f037e15630=Ceará; rtba608dbac31d11=Ponte Preta; rt4755b887b873fc=Vasco da Gama; rt82235bfb6f61c5=CSA; rteda5bdd932fa64=Sport Recife; rt1a4d1689bdac08=São José RS; rt7bec13bcdb8b4d=Figueirense; rt47ea83c8e136dd=Fluminense; rt2c153237e457d7=Paysandu; rte963d27c08121a=Palmeiras; rt5765fc6b7efb76=Imperatriz; rt434348404b6bc1=Fortaleza; rtfec615dccc4a3e=Osasco Sporting; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rt10a028d60d2e38=Vila Nova; rt504d2cbfcd2bc7=São Paulo; rt818abe2d31fd9a=Juventude; rt50734ff00e23f9=Atlético Goianiense; rt56602c3a84b420=Athletico Paranaense; rt2e0fc6a49ee964=Ypiranga RS; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rt9040b2d312aa0e=Cuiabá; rt96d013e51129f1=Botafogo PB; rt36f2c934ec70c0=Ferroviário; rtccac7818bac957=Flamengo; rt018a66b3ea5536=Tombense; rtf1ae350040ce1b=América Mineiro; rt007f02a8296bb9=Náutico; rtf3a888e62c81cf=Sampaio Corrêa; rtae9f8a81515fbf=Atlético Mineiro; rt34690d88c1a3da=Luverdense; rt51d46f0ad82643=Avaí; rt6ef1560fec6329=Coritiba; rtd7e6f6b76149f0=Brasil de Pelotas; rt3db4974571d96d=Santa Cruz de Natal; rt0a4ecb45eeb0f6=Guarani SP; rtabddd8b7dee058=CRB; rtf4ad232d9dbfdb=Americano; rt949df1a5dd80b9=Paraná; rtec30874bd013ee=Corinthians; rtbfdd76ed180e75=Palmas; rt154d21631cb8be=ABC; rt42a22c4a5b3fac=URT; rtd52e20e0db2889=Londrina; rted344ee352d84a=Boa; rtb76e97a618357d=Botafogo; rtb506fdbed10224=Criciúma; rt59e1722265a494=Santa Cruz; rt0266f087f1a79c=Mixto
Brazil,Brasileiro Série D,2021,Copa do Brasil,Grêmio Atlético Sampaio; Rio Branco AC; Rio Branco do Paraná; Tocantinópolis,rteab6418ace7f56=Internacional; rt4e2e39849b26d8=Remo; rtbda879ee691a54=Chapecoense; rtc844f037e15630=Ceará; rt4755b887b873fc=Vasco da Gama; rtba608dbac31d11=Ponte Preta; rt172678e7ed34e5=Mirassol; rteda5bdd932fa64=Sport Recife; rt82235bfb6f61c5=CSA; rtc580241c4b4017=Operário PR; rt7bec13bcdb8b4d=Figueirense; rt47ea83c8e136dd=Fluminense; rt2c153237e457d7=Paysandu; rt91f13935ae22a7=Volta Redonda; rte963d27c08121a=Palmeiras; rt434348404b6bc1=Fortaleza; rtf3419e193a9dbe=Real Brasília; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rt10a028d60d2e38=Vila Nova; rt504d2cbfcd2bc7=São Paulo; rt785c40a781a82a=RB Bragantino; rt818abe2d31fd9a=Juventude; rt9be6cb0d2dbd55=Picos; rtcadc4b8f4c226a=Brusque; rt50734ff00e23f9=Atlético Goianiense; rt56602c3a84b420=Athletico Paranaense; rt2e0fc6a49ee964=Ypiranga RS; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rt9040b2d312aa0e=Cuiabá; rt34e2de9a09c95b=Manaus; rt36f2c934ec70c0=Ferroviário; rte5fdc35a46cd32=Confiança; rtccac7818bac957=Flamengo; rt018a66b3ea5536=Tombense; rtf1ae350040ce1b=América Mineiro; rtf3a888e62c81cf=Sampaio Corrêa; rtae9f8a81515fbf=Atlético Mineiro; rt34690d88c1a3da=Luverdense; rt51d46f0ad82643=Avaí; rt6ef1560fec6329=Coritiba; rt7395ea005430ed=Salgueiro; rtabddd8b7dee058=CRB; rt949df1a5dd80b9=Paraná; rtec30874bd013ee=Corinthians; rtbfdd76ed180e75=Palmas; rte32f70e4bf8304=Santa Cruz RS; rt799a6296b73f54=Rio Branco ES; rtb76e97a618357d=Botafogo; rtce0e4e68d89aac=Vitória; rtb506fdbed10224=Criciúma; rt0147d89e87012a=Marília; rta1b061380a4b09=Santos; rt59e1722265a494=Santa Cruz
Brazil,Brasileiro Série D,2022,Copa do Brasil,Pacajus EC; EC Próspera; UR Trabalhadores; Ação; Crato; Clube Sociedade Esportiva,rteab6418ace7f56=Internacional; rt4e2e39849b26d8=Remo; rtbda879ee691a54=Chapecoense; rtc844f037e15630=Ceará; rt4755b887b873fc=Vasco da Gama; rtba608dbac31d11=Ponte Preta; rt172678e7ed34e5=Mirassol; rt71a90b587c29c3=Altos; rt82235bfb6f61c5=CSA; rteda5bdd932fa64=Sport Recife; rtc580241c4b4017=Operário PR; rt7bec13bcdb8b4d=Figueirense; rt1537e049da83a9=Tuntum; rt47ea83c8e136dd=Fluminense; rt2c153237e457d7=Paysandu; rt91f13935ae22a7=Volta Redonda; rte963d27c08121a=Palmeiras; rt434348404b6bc1=Fortaleza; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rt8db290066fa26b=São Raimundo AM; rt1311759c7ef0c9=Novorizontino; rt10a028d60d2e38=Vila Nova; rt785c40a781a82a=RB Bragantino; rt818abe2d31fd9a=Juventude; rt50734ff00e23f9=Atlético Goianiense; rt56602c3a84b420=Athletico Paranaense; rt65ddea615e2471=Campinense; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rt9040b2d312aa0e=Cuiabá; rt34e2de9a09c95b=Manaus; rtcbbb22c10cf786=Maricá; rt36f2c934ec70c0=Ferroviário; rtccac7818bac957=Flamengo; rt018a66b3ea5536=Tombense; rt007f02a8296bb9=Náutico; rtf1ae350040ce1b=América Mineiro; rtae9f8a81515fbf=Atlético Mineiro; rtf3a888e62c81cf=Sampaio Corrêa; rt51d46f0ad82643=Avaí; rt5abc12b3263cee=União Rondonópolis; rt6ef1560fec6329=Coritiba; rtd7e6f6b76149f0=Brasil de Pelotas; rt0a4ecb45eeb0f6=Guarani SP; rt7395ea005430ed=Salgueiro; rtabddd8b7dee058=CRB; rtec30874bd013ee=Corinthians; rtdd7cc497b7e4ad=Botafogo SP; rt154d21631cb8be=ABC; rt42a22c4a5b3fac=URT; rt4feb8fd75f65e5=Glória; rtd52e20e0db2889=Londrina; rtb76e97a618357d=Botafogo; rtce0e4e68d89aac=Vitória; rtb506fdbed10224=Criciúma; rta1b061380a4b09=Santos
Brazil,Brasileiro Série D,2023,Copa do Brasil,Pacajus EC; Nacional FC,rteab6418ace7f56=Internacional; rt4e2e39849b26d8=Remo; rtbda879ee691a54=Chapecoense; rtc844f037e15630=Ceará; rt4755b887b873fc=Vasco da Gama; rtba608dbac31d11=Ponte Preta; rteda5bdd932fa64=Sport Recife; rt82235bfb6f61c5=CSA; rtc580241c4b4017=Operário PR; rt1537e049da83a9=Tuntum; rt47ea83c8e136dd=Fluminense; rt8f67ab2e6f62b3=São Bernardo; rt91f13935ae22a7=Volta Redonda; rt2c153237e457d7=Paysandu; rte963d27c08121a=Palmeiras; rt434348404b6bc1=Fortaleza; rtfc212e81a5fc21=Caldense; rtcb3f5b76598def=Grêmio; rt10a028d60d2e38=Vila Nova; rt504d2cbfcd2bc7=São Paulo; rt785c40a781a82a=RB Bragantino; rt818abe2d31fd9a=Juventude; rt9fa17550e3343e=São Luiz; rtcadc4b8f4c226a=Brusque; rt50734ff00e23f9=Atlético Goianiense; rt2e0fc6a49ee964=Ypiranga RS; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rt9040b2d312aa0e=Cuiabá; rt34e2de9a09c95b=Manaus; rt96d013e51129f1=Botafogo PB; rtbbe1fa6c64ab85=Marcílio Dias; rtccac7818bac957=Flamengo; rt018a66b3ea5536=Tombense; rt007f02a8296bb9=Náutico; rtf1ae350040ce1b=América Mineiro; rtf3a888e62c81cf=Sampaio Corrêa; rtae9f8a81515fbf=Atlético Mineiro; rt51d46f0ad82643=Avaí; rt6ef1560fec6329=Coritiba; rtf4448c47da2692=América RN; rtabddd8b7dee058=CRB; rtec30874bd013ee=Corinthians; rtdd7cc497b7e4ad=Botafogo SP; rt154d21631cb8be=ABC; rtd52e20e0db2889=Londrina; rt32f20abd485e34=Ituano; rtb76e97a618357d=Botafogo; rtce0e4e68d89aac=Vitória; rtb506fdbed10224=Criciúma; rt0147d89e87012a=Marília; rt602d8173b76ccc=Nova Mutum EC; rta1b061380a4b09=Santos
Brazil,Brasileiro Série D,2024,Copa do Brasil,AA Altos; São José/SP; Manaus FC,rteab6418ace7f56=Internacional; rt4e2e39849b26d8=Remo; rtc844f037e15630=Ceará; rteda5bdd932fa64=Sport Recife; rt4755b887b873fc=Vasco da Gama; rtc580241c4b4017=Operário PR; rtf6773aa16204b4=Olaria; rt47ea83c8e136dd=Fluminense; rt8f67ab2e6f62b3=São Bernardo; rt91f13935ae22a7=Volta Redonda; rt2c153237e457d7=Paysandu; rte963d27c08121a=Palmeiras; rt434348404b6bc1=Fortaleza; rtd076c288773b0f=Cruzeiro; rtcb3f5b76598def=Grêmio; rt504d2cbfcd2bc7=São Paulo; rt785c40a781a82a=RB Bragantino; rt818abe2d31fd9a=Juventude; rta115c0f3cc227e=Nova Venécia; rt9fa17550e3343e=São Luiz; rtcadc4b8f4c226a=Brusque; rt50734ff00e23f9=Atlético Goianiense; rt81de1608b924e1=Independente AP; rt56602c3a84b420=Athletico Paranaense; rt2e0fc6a49ee964=Ypiranga RS; rt7bbf5d63e6c889=Portuguesa Santista; rt87f5785a95c511=Villa Nova; rt56940ec2784ec8=Goiás; rt608a22f93f647d=Bahia; rt9040b2d312aa0e=Cuiabá; rt1c43fc44a6eaa3=CEOV Operário; rt36f2c934ec70c0=Ferroviário; rte5fdc35a46cd32=Confiança; rtbbe1fa6c64ab85=Marcílio Dias; rtccac7818bac957=Flamengo; rt018a66b3ea5536=Tombense; rtf1ae350040ce1b=América Mineiro; rt6420facbcfb32f=Aparecidense; rtf3a888e62c81cf=Sampaio Corrêa; rtae9f8a81515fbf=Atlético Mineiro; rtf9f7d89eb5b558=Amazonas; rt2d6a8ecb9b8653=Operário FC MS; rte2e6a9d010dae6=Murici FC; rt6ef1560fec6329=Coritiba; rt78e97396606e7c=GAS; rtb6cf4378f24b15=Ji-Paraná; rtabddd8b7dee058=CRB; rtec30874bd013ee=Corinthians; rtdd7cc497b7e4ad=Botafogo SP; rt154d21631cb8be=ABC; rt0c7239c4bc26b0=Athletic Club MG; rt32f20abd485e34=Ituano; rtb76e97a618357d=Botafogo; rtce0e4e68d89aac=Vitória; rtb506fdbed10224=Criciúma
Bulgaria,Bulgarian A PFG,2004,First League,PFC Vidima-Rakovski,rt6d0ec2578b93b8=Botev 1912 Plovdiv; rt2a833c64ab06fa=Marek; rt38a95af3fd367a=Chernomorets Sofia; rt30d607d76153ba=Chernomorets Pomorie; rt517467dfe098bf=Vidima-Rakovski; rt6b0d198746bb82=Vidima-Rakovski; rt2d23974cf66ad2=Makedonska Slava
Bulgaria,Bulgarian A PFG,2005,First League,PFC Vidima-Rakovski,rt2a833c64ab06fa=Marek; rt30d607d76153ba=Chernomorets Pomorie; rt517467dfe098bf=Vidima-Rakovski; rt6b0d198746bb82=Vidima-Rakovski
Bulgaria,Bulgarian A PFG,2008,First League,PFC Vidima-Rakovski,rt6d0ec2578b93b8=Botev 1912 Plovdiv; rtbf693d57d9d3bd=PSFK Chernomorets Burgas; rt2a833c64ab06fa=Marek; rt6b0d198746bb82=Vidima-Rakovski; rt517467dfe098bf=Vidima-Rakovski
Bulgaria,Bulgarian A PFG,2011,First League,PFC Vidima-Rakovski,rt723b7a5f3d6087=Minyor Pernik; rtbf693d57d9d3bd=PSFK Chernomorets Burgas; rt517467dfe098bf=Vidima-Rakovski; rt6b0d198746bb82=Vidima-Rakovski
Bulgaria,Bulgarian A PFG,2012,First League,PFC Vidima-Rakovski,rt723b7a5f3d6087=Minyor Pernik; rtbf693d57d9d3bd=PSFK Chernomorets Burgas; rt517467dfe098bf=Vidima-Rakovski; rt6b0d198746bb82=Vidima-Rakovski; rt6f1dae4f0731fa=Svetkavitsa 1922
China,Chinese Super League,2006,Chinese Super League,Shenyang Ginde; Qingdao Zhongneng; Tianjin Teda; Inter Xian Chanba,rt0ad81991188156=Beijing Chengfeng; rt6e55537bf118b6=Tianjin Jinmen Tiger; rt61beb6dc881ee8=Qingdao Hainiu; rta052416841ac63=Guangzhou City
China,Chinese Super League,2007,Chinese Super League,Qingdao Zhongneng; Changsha Ginde; Shaanxi Baorong; Tianjin Teda,rt0ad81991188156=Beijing Chengfeng; rt6e55537bf118b6=Tianjin Jinmen Tiger; rt61beb6dc881ee8=Qingdao Hainiu; rta052416841ac63=Guangzhou City
China,Chinese Super League,2008,Chinese Super League,Qingdao Zhongneng; Changsha Ginde; Hangzhou Greentown; Tianjin Teda; Shaanxi Chanba,rt0ad81991188156=Beijing Chengfeng; rt6e55537bf118b6=Tianjin Jinmen Tiger; rt7d00d17ba329a0=Zhejiang; rt61beb6dc881ee8=Qingdao Hainiu; rta052416841ac63=Guangzhou City
China,Chinese Super League,2009,Chinese Super League,Qingdao Jonoon; Changsha Ginde; Hangzhou Greentown; Tianjin Teda; Shaanxi Chanba,rt0ad81991188156=Beijing Chengfeng; rt6e55537bf118b6=Tianjin Jinmen Tiger; rt7d00d17ba329a0=Zhejiang; rt61beb6dc881ee8=Qingdao Hainiu; rta052416841ac63=Guangzhou City
China,Chinese Super League,2010,Chinese Super League,Qingdao Jonoon; Changsha Ginde; Nanchang Hengyuan; Hangzhou Greentown; Tianjin Teda; Shaanxi Chanba,rt9bf720d56c2847=Shanghai Shenxin; rt0ad81991188156=Beijing Chengfeng; rt6e55537bf118b6=Tianjin Jinmen Tiger; rt7d00d17ba329a0=Zhejiang; rt61beb6dc881ee8=Qingdao Hainiu; rta052416841ac63=Guangzhou City
China,Chinese Super League,2011,Chinese Super League,Qingdao Jonoon; Nanchang Hengyuan; Hangzhou Greentown; Tianjin Teda; Shaanxi Chanba,rt9bf720d56c2847=Shanghai Shenxin; rt0ad81991188156=Beijing Chengfeng; rt6e55537bf118b6=Tianjin Jinmen Tiger; rt7d00d17ba329a0=Zhejiang; rt61beb6dc881ee8=Qingdao Hainiu
China,Chinese Super League,2012,Chinese Super League,Qingdao Jonoon; Hangzhou Greentown; Tianjin Teda,rt61beb6dc881ee8=Qingdao Hainiu; rt7d00d17ba329a0=Zhejiang; rt6e55537bf118b6=Tianjin Jinmen Tiger
China,Chinese Super League,2013,Chinese Super League,Qingdao Jonoon; Hangzhou Greentown; Tianjin Teda; Shanghai East Asia,rt0a3feff7a5441c=Shanghai Port; rt61beb6dc881ee8=Qingdao Hainiu; rt7d00d17ba329a0=Zhejiang; rt6e55537bf118b6=Tianjin Jinmen Tiger
China,Chinese Super League,2014,Chinese Super League,Hangzhou Greentown; Tianjin Teda; Shanghai East Asia,rt0a3feff7a5441c=Shanghai Port; rt7d00d17ba329a0=Zhejiang; rt6e55537bf118b6=Tianjin Jinmen Tiger
China,Chinese Super League,2015,Chinese Super League,Shijiazhuang Yongchang; Tianjin Teda; Shanghai SIPG; Hangzhou Greentown,rt6e55537bf118b6=Tianjin Jinmen Tiger; rt0a3feff7a5441c=Shanghai Port; rt7d00d17ba329a0=Zhejiang; rt44dfff72415726=Cangzhou Mighty Lions
China,Chinese Super League,2016,Chinese Super League,Tianjin Teda; Hangzhou Greentown; Shanghai SIPG,rt0a3feff7a5441c=Shanghai Port; rt7d00d17ba329a0=Zhejiang; rt6e55537bf118b6=Tianjin Jinmen Tiger
China,Chinese Super League,2017,Chinese Super League,Shanghai SIPG; Tianjin Teda; Tianjin Quanjian,rt0a3feff7a5441c=Shanghai Port; rtc7b3e47055771f=Tianjin Tianhai; rt6e55537bf118b6=Tianjin Jinmen Tiger
